scenario_id,collection,budget,graph,result_set_id,source_result_set_id,approach_id,approach_label,is_reference,seed,seed_count,generations,population_size,mutation_rate,reward,cost,explicit_reward,validated_reward,runtime_seconds,is_valid,validation_notes,computed_reward,computed_cost,unique_visited_nodes,route_hops
planar_weighted_small_budget030,planar_weighted_small,30,graph_044.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,268,30,,,0.0005335840105544776,True,,268,30,4,8
planar_weighted_small_budget030,planar_weighted_small,30,graph_045.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,313,28,,,0.0005187919887248427,True,,313,28,5,10
planar_weighted_small_budget030,planar_weighted_small,30,graph_046.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,221,29,,,0.0004118750221095979,True,,221,29,4,6
planar_weighted_small_budget030,planar_weighted_small,30,graph_047.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,224,22,,,0.00043958399328403175,True,,224,22,4,6
planar_weighted_small_budget030,planar_weighted_small,30,graph_048.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,168,30,,,0.00038291700184345245,True,,168,30,4,8
planar_weighted_small_budget030,planar_weighted_small,30,graph_049.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,134,26,,,0.00038174999644979835,True,,134,26,4,8
planar_weighted_small_budget030,planar_weighted_small,30,graph_050.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,147,28,,,0.0004617089871317148,True,,147,28,4,6
planar_weighted_small_budget030,planar_weighted_small,30,graph_051.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,128,18,,,0.0003589999978430569,True,,128,18,2,4
planar_weighted_small_budget030,planar_weighted_small,30,graph_052.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,98,22,,,0.0003542500198818743,True,,98,22,2,4
planar_weighted_small_budget030,planar_weighted_small,30,graph_053.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,278,30,,,0.0003397919936105609,True,,278,30,4,6
planar_weighted_small_budget030,planar_weighted_small,30,graph_054.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,0,0,,,0.0002861250250134617,True,,0,0,0,0
planar_weighted_small_budget030,planar_weighted_small,30,graph_055.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,204,30,,,0.0006424169987440109,True,,204,30,6,12
planar_weighted_small_budget030,planar_weighted_small,30,graph_056.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,133,23,,,0.0003217920020688325,True,,133,23,3,4
